CodiceBelfiore;CodiceIstat;CodiceVia;DUG;DUF;CAP;QuartiereSobborgo
A182;6003;42406;VIA;ALESSANDRIA SALE;15122;LOBBI
A182;6003;43506;VIA;CARLO SABATINI;15122;LOBBI
A182;6003;43001;VIA;DELLA MANDRINA;15122;LOBBI
A182;6003;43405;VIA;DELLA REPUBBLICA IN LOBBI;15122;LOBBI
A182;6003;43104;VIA;DON ANGELO CAMPORA IN LOBBI;15122;LOBBI
A182;6003;42709;VIA;ENRICO FRANCHINI;15122;LOBBI
A182;6003;42608;VIA;FILIPPONA;15122;LOBBI
A182;6003;43304;VIA;GIOVANNI POGGIO;15122;LOBBI
A182;6003;42901;VIA;GIUSEPPE GUAZZONE;15122;LOBBI
A182;6003;43102;VIA;PAGELLA;15122;LOBBI
A182;6003;43203;VIA;PASSALACQUA;15122;LOBBI
A182;6003;43607;VIA;SALE MANDRINA;15122;LOBBI
A182;6003;42800;PIAZZA;PAOLO FRANZINI TIBALDEO;15122;LOBBI
A182;6003;43708;LOCALITA';CASCINALI STAMPA;15122;LOBBI
A182;6003;44101;VIA;CAI MENACCIA;15122;MANDROGNE
A182;6003;44404;VIA;CENTRO;15122;MANDROGNE
A182;6003;43900;VIA;DEL BOSCO DI MANDROGNE;15122;MANDROGNE
A182;6003;46201;VIA;EDOARDO BOCCHIO;15122;MANDROGNE
A182;6003;44405;VIA;EDOARDO CRIVELLI;15122;MANDROGNE
A182;6003;44808;VIA;GALADE;15122;MANDROGNE
A182;6003;44402;VIA;LUIGI FIRPO;15122;MANDROGNE
A182;6003;45201;VIA;NUOVA;15122;MANDROGNE
A182;6003;45302;VIA;ORSI IN MANDROGNE;15122;MANDROGNE
A182;6003;44000;VIA;TERESIO BOVONE;15122;MANDROGNE
A182;6003;44505;STRADA COMUNALE;MANDROGNE DI MANDROGNE;15122;MANDROGNE
A182;6003;44203;STRADA;BOSCHETTO;15122;MANDROGNE
A182;6003;44202;STRADA;CASCINAGROSSA;15122;MANDROGNE
A182;6003;44303;STRADA;DEI CASCINOTTI;15122;MANDROGNE
A182;6003;44606;STRADA;DEI COSCIA;15122;MANDROGNE
A182;6003;62815;STRADA;DEI TERRAROSSA DI MANDROGNE;15122;MANDROGNE
A182;6003;44909;STRADA;DELLA GELOSA;15122;MANDROGNE
A182;6003;44707;STRADA;FRUGAROLO DI MANDROGNE;15122;MANDROGNE
A182;6003;45001;STRADA;MENACCIA;15122;MANDROGNE
A182;6003;45100;STRADA;NOVI;15122;MANDROGNE
A182;6003;45403;STRADA;RAGGI DI MANDROGNE;15122;MANDROGNE
A182;6003;45504;STRADA;SALE DI MANDROGNE;15122;MANDROGNE
A182;6003;45551;STRADA;TORTONA DI MANDROGNE;15122;MANDROGNE
A182;6003;62732;VIALE;PAOLO BORSELLINO;15121;NORBERTO ROSA
A182;6003;14704;VIA;ACHILLE GRANDI;15121;NORBERTO ROSA
A182;6003;32203;VIA;AMERIGO VESPUCCI;15121;NORBERTO ROSA
A182;6003;24851;VIA;CAMILLA RAVERA;15121;NORBERTO ROSA
A182;6003;21708;VIA;DELLA PALAZZINA;15121;NORBERTO ROSA
A182;6003;27401;VIA;DELLA SANTA;15121;NORBERTO ROSA
A182;6003;29656;VIA;DON LUIGI STURZO;15121;NORBERTO ROSA
A182;6003;5005;VIA;DONATO BRAMANTE;15121;NORBERTO ROSA
A182;6003;62756;VIA;ESULI ISTRIANI FIUMANI E DALMATI;15121;NORBERTO ROSA
A182;6003;22231;VIA;FERRUCCIO PARRI;15121;NORBERTO ROSA
A182;6003;5423;VIA;GIACOMO BRODOLINI;15121;NORBERTO ROSA
A182;6003;13420;VIA;GIOVANNI GIOLITTI;15121;NORBERTO ROSA
A182;6003;68840;VIA;GIUSEPPE SARAGAT;15121;NORBERTO ROSA
A182;6003;2925;VIA;LELIO BASSO;15121;NORBERTO ROSA
A182;6003;11743;VIA;LUIGI EINAUDI;15121;NORBERTO ROSA
A182;6003;16126;VIA;LUIGI LONGO;15121;NORBERTO ROSA
A182;6003;17501;VIA;MARTIRI DELLA BENEDICTA;15121;NORBERTO ROSA
A182;6003;25603;VIA;NORBERTO ROSA;15121;NORBERTO ROSA
A182;6003;62742;VIA;PADRE PIO;15121;NORBERTO ROSA
A182;6003;30214;VIA;PALMIRO TOGLIATTI;15121;NORBERTO ROSA
A182;6003;21021;VIA;PIETRO NENNI;15121;NORBERTO ROSA
A182;6003;16115;VIA;RICCARDO LOMBARDI;15121;NORBERTO ROSA
A182;6003;16236;VIA;STELLIO LOZZA;15121;NORBERTO ROSA
A182;6003;15323;VIA;UGO LA MALFA;15121;NORBERTO ROSA
A182;6003;2806;VIA;UMBERTO BARBERIS;15121;NORBERTO ROSA
A182;6003;29876;VIA;UMBERTO TERRACINI;15121;NORBERTO ROSA
A182;6003;32750;VIA;VITTIME DELLE FOIBE;15121;NORBERTO ROSA
A182;6003;29414;CASE SPARSE;CRISTO;15121;NORBERTO ROSA
A182;6003;19305;VIALE;MILITE IGNOTO;15121;ORTI
A182;6003;33808;VIA;28 MARZO 1921;15121;ORTI
A182;6003;9009;VIA;ANNIBALE CIVALIERI;15121;ORTI
A182;6003;10405;VIA;BONIFACIO DAL POZZO;15121;ORTI
A182;6003;9153;VIA;CRISTOFORO COLOMBO;15121;ORTI
A182;6003;6904;VIA;DEL BARCAIOLO;15121;ORTI
A182;6003;6903;VIA;DELLA CAPPELLETTA;15121;ORTI
A182;6003;8800;VIA;DELLA CHIATTA;15121;ORTI
A182;6003;1056;VIA;ERNESTO CABRUNA;15121;ORTI
A182;6003;16500;VIA;FERNANDO MAGELLANO;15121;ORTI
A182;6003;11606;VIA;GAETANO DONIZETTI;15121;ORTI
A182;6003;25906;VIA;GIOACCHINO ROSSINI;15121;ORTI
A182;6003;14401;VIA;GIRGENTI;15121;ORTI
A182;6003;24301;VIA;GIULIANO PORTA;15121;ORTI
A182;6003;22909;VIA;LORENZO PENNA;15121;ORTI
A182;6003;24705;VIA;MARIO RAPISARDI;15121;ORTI
A182;6003;20828;VIA;PIETRO MORANDO;15121;ORTI
A182;6003;22303;VIA;PIETRO PARVOPASSU;15121;ORTI
A182;6003;28303;VIA;PIETRO SASSI;15121;ORTI
A182;6003;23908;VIA;POLIGONIA;15121;ORTI
A182;6003;25102;VIA;RETTORIA;15121;ORTI
A182;6003;27904;VIA;SANTORRE DI SANTAROSA;15121;ORTI
A182;6003;3003;VIA;VINCENZO BELLINI;15121;ORTI
A182;6003;32506;VIA;VINZAGLIO;15121;ORTI
A182;6003;11404;PIAZZA;DIVINA PROVVIDENZA;15121;ORTI
A182;6003;62801;PIAZZA;FABRIZIO DE ANDRE';15121;ORTI
A182;6003;23100;PIAZZA;LORENZO PEROSI;15121;ORTI
A182;6003;29700;LUNGO;TANARO MAGENTA;15121;ORTI
A182;6003;8107;LARGO;CATANIA;15121;ORTI
A182;6003;29425;CASE SPARSE;ORTI;15121;ORTI
A182;6003;18304;VIALE;MEDAGLIE D'ORO;15121;PISTA
A182;6003;16702;VIA;ALESSANDRO MANZONI;15121;PISTA
A182;6003;10607;VIA;AMBROGIO DAMASIO;15121;PISTA
A182;6003;12807;VIA;ANTONIO FRANZINI;15121;PISTA
A182;6003;21506;VIA;ANTONIO PACINOTTI;15121;PISTA
A182;6003;2301;VIA;ASPROMONTE;15121;PISTA
A182;6003;5401;VIA;BRIGATA RAVENNA;15121;PISTA
A182;6003;5702;VIA;BRUNO BUOZZI;15121;PISTA
A182;6003;16203;VIA;CESARE LOMBROSO;15121;PISTA
A182;6003;21405;VIA;DON LUIGI ORIONE;15121;PISTA
A182;6003;5203;VIA;ETTORE BRAVETTA;15121;PISTA
A182;6003;12302;VIA;FABIO FILZI;15121;PISTA
A182;6003;12403;VIA;FIRENZE;15121;PISTA
A182;6003;18403;VIA;FRANCESCO MENSI;15121;PISTA
A182;6003;13101;VIA;GALILEO GALILEI;15121;PISTA
A182;6003;29502;VIA;GIORGIO STEPHENSON;15121;PISTA
A182;6003;14256;VIA;GIOTTO;15121;PISTA
A182;6003;1807;VIA;GIOVANNI AMENDOLA;15121;PISTA
A182;6003;11202;VIA;GIOVANNI DE NEGRI;15121;PISTA
A182;6003;15602;VIA;GUGLIELMO LANZAVECCHIA;15121;PISTA
A182;6003;33707;VIA;GUGLIELMO ZUCCHI;15121;PISTA
A182;6003;33505;VIA;LAZZARO ZAMENHOF;15121;PISTA
A182;6003;16005;VIA;LIVORNO;15121;PISTA
A182;6003;18700;VIA;MESSINA;15121;PISTA
A182;6003;21001;VIA;NAPOLI;15121;PISTA
A182;6003;21809;VIA;PALERMO;15121;PISTA
A182;6003;1100;VIA;PIETRO ABBA' CORNAGLIA;15121;PISTA
A182;6003;22202;VIA;PIETRO PARNISETTI;15121;PISTA
A182;6003;33202;VIA;RICCARDO WAGNER;15121;PISTA
A182;6003;2002;VIA;ROBERTO ARDIGO';15121;PISTA
A182;6003;25300;VIA;SEBASTIANO RIVOLTA;15121;PISTA
A182;6003;22808;VIA;SILVIO PELLICO;15121;PISTA
A182;6003;30508;VIA;TORINO;15121;PISTA
A182;6003;30801;VIA;TRENTO;15121;PISTA
A182;6003;31002;VIA;TRIESTE;15121;PISTA
A182;6003;12706;VIA;UGO FOSCOLO;15121;PISTA
A182;6003;10102;PIAZZA;GABRIELE D'ANNUNZIO;15121;PISTA
A182;6003;18502;PIAZZA;MENTANA;15121;PISTA
A182;6003;15301;CORSO;QUATTRO NOVEMBRE;15121;PISTA
A182;6003;4602;CORSO;TERESIO BORSALINO;15121;PISTA
A182;6003;33303;CORSO;VENTI SETTEMBRE;15121;PISTA
A182;6003;21505;BORGO;CITTA' NUOVA;15121;PISTA
A182;6003;62802;VICOLO;DON CARLO GNOCCHI;15122;SAN GIULIANO NUOVO
A182;6003;68832;VIA;ALLE CASCINE;15122;SAN GIULIANO NUOVO
A182;6003;45605;VIA;BUSCHETTA;15122;SAN GIULIANO NUOVO
A182;6003;45706;VIA;CA DA PO;15122;SAN GIULIANO NUOVO
A182;6003;45760;VIA;CAMPO NOCI;15122;SAN GIULIANO NUOVO
A182;6003;45562;VIA;CARLO BORRA IN SAN GIULIANO NUOVO;15122;SAN GIULIANO NUOVO
A182;6003;45807;VIA;COLLA DI SAN GIULIANO NUOVO;15122;SAN GIULIANO NUOVO
A182;6003;68833;VIA;DELLE GAGGIE;15122;SAN GIULIANO NUOVO
A182;6003;45908;VIA;DORIA;15122;SAN GIULIANO NUOVO
A182;6003;45953;VIA;DUOMO;15122;SAN GIULIANO NUOVO
A182;6003;46002;VIA;FAINA;15122;SAN GIULIANO NUOVO
A182;6003;46200;VIA;GALLARATE;15122;SAN GIULIANO NUOVO
A182;6003;46402;VIA;GHILINA DI SAN GIULIANO NUOVO;15122;SAN GIULIANO NUOVO
A182;6003;46503;VIA;GRANAROLI;15122;SAN GIULIANO NUOVO
A182;6003;46604;VIA;LOBBI;15122;SAN GIULIANO NUOVO
A182;6003;46806;VIA;NICOLINA;15122;SAN GIULIANO NUOVO
A182;6003;47102;VIA;PAOLO ROSSI IN SAN GIULIANO NUOVO;15122;SAN GIULIANO NUOVO
A182;6003;46907;VIA;PIOVERA;15122;SAN GIULIANO NUOVO
A182;6003;47003;VIA;PREBENDA;15122;SAN GIULIANO NUOVO
A182;6003;47201;VIA;SALE DI SAN GIULIANO NUOVO;15122;SAN GIULIANO NUOVO
A182;6003;45751;STRADA;CASCINOLO;15122;SAN GIULIANO NUOVO
A182;6003;46705;STRADA;LONZI;15122;SAN GIULIANO NUOVO
A182;6003;62743;VIA;ARMANDO FERRETTI;15122;SAN GIULIANO VECCHIO
A182;6003;47652;VIA;BORRA IN SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;47704;VIA;CARDINALI;15122;SAN GIULIANO VECCHIO
A182;6003;47906;VIA;CASONI;15122;SAN GIULIANO VECCHIO
A182;6003;47401;VIA;CASTELCERIOLO DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;48301;VIA;DEI MORI DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;62785;VIA;DON NICOLA BUSCAGLIA;15122;SAN GIULIANO VECCHIO
A182;6003;62812;VIA;ELIO MORILLE;15122;SAN GIULIANO VECCHIO
A182;6003;48103;VIA;FRANCESCO E GIULIO GRASSANO;15122;SAN GIULIANO VECCHIO
A182;6003;48004;VIA;GHILINA DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;48202;VIA;MOLINARA DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;48400;VIA;MOSCHINI;15122;SAN GIULIANO VECCHIO
A182;6003;48501;VIA;NOVI;15122;SAN GIULIANO VECCHIO
A182;6003;48602;VIA;OLIVA;15122;SAN GIULIANO VECCHIO
A182;6003;48703;VIA;PIACENZA DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;48905;VIA;PORRONA;15122;SAN GIULIANO VECCHIO
A182;6003;49203;VIA;RAMELLA;15122;SAN GIULIANO VECCHIO
A182;6003;49302;VIA;SALE DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;49401;VIA;VENTOLINA;15122;SAN GIULIANO VECCHIO
A182;6003;49500;VIA;ZERBI;15122;SAN GIULIANO VECCHIO
A182;6003;47805;STRADA;CAREZZANA;15122;SAN GIULIANO VECCHIO
A182;6003;62816;STRADA;DEI TERRAROSSA DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;47603;STRADA;DEL BOSCO DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;62814;STRADA;RAGGI DI SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;47502;PIAZZA;CESARE BATTISTI IN SAN GIULIANO VECCHIO;15122;SAN GIULIANO VECCHIO
A182;6003;49601;VIA;BALOSTRA;15122;SAN MICHELE
A182;6003;3704;VIA;BIVIO;15122;SAN MICHELE
A182;6003;49803;VIA;CASALE DI SAN MICHELE;15122;SAN MICHELE
A182;6003;50702;VIA;DEL MEZZANO;15122;SAN MICHELE
A182;6003;50106;VIA;DOSSO DEI SALI;15122;SAN MICHELE
A182;6003;50207;VIA;GAIOLA;15122;SAN MICHELE
A182;6003;50308;VIA;GIARDINETTO;15122;SAN MICHELE
A182;6003;51100;VIA;GIORDANO BRUNO IN SAN MICHELE;15122;SAN MICHELE
A182;6003;50409;VIA;ISOLETTA;15122;SAN MICHELE
A182;6003;50500;VIA;LORETO;15122;SAN MICHELE
A182;6003;50601;VIA;MARGIOCCHI;15122;SAN MICHELE
A182;6003;51105;VIA;OSVALDO REMOTTI;15122;SAN MICHELE
A182;6003;50803;VIA;PIANTALETTI;15122;SAN MICHELE
A182;6003;50904;VIA;QUAGLIA;15122;SAN MICHELE
A182;6003;51004;VIA;QUARGNENTO;15122;SAN MICHELE
A182;6003;62803;VIA;ROBERTO DI FERRO;15122;SAN MICHELE
A182;6003;51206;VIA;SELLA;15122;SAN MICHELE
A182;6003;51307;VIA;TORINO DI SAN MICHELE;15122;SAN MICHELE
A182;6003;51408;VIA;TORRE VECCHIA;15122;SAN MICHELE
A182;6003;51509;STRADA VECCHIA;CASTELLO;15122;SAN MICHELE
A182;6003;49702;STRADA;BOGLIANA;15122;SAN MICHELE
A182;6003;50005;STRADA;CORNAGLIE;15122;SAN MICHELE
A182;6003;49904;STRADA;DELLA CERCA DI SAN MICHELE;15122;SAN MICHELE
A182;6003;51600;STRADA;VESCOVANA;15122;SAN MICHELE
A182;6003;62741;VICOLO;CASTEL MARENGO;15122;SPINETTA MARENGO
A182;6003;62758;VICOLO;DEL SUGHERO;15122;SPINETTA MARENGO
A182;6003;55211;VICOLO;DELLA VITTORIA;15122;SPINETTA MARENGO
A182;6003;54001;VICOLO;DELL'ORO;15122;SPINETTA MARENGO
A182;6003;62746;VICOLO;DON PAOLO TOSELLI;15122;SPINETTA MARENGO
A182;6003;54809;VICOLO;STIVARDI;15122;SPINETTA MARENGO
A182;6003;54102;VIA;ACHILLE PERFUMO;15122;SPINETTA MARENGO
A182;6003;53516;VIA;ALDO DIANI;15122;SPINETTA MARENGO
A182;6003;54010;VIA;ALDO TESTERA;15122;SPINETTA MARENGO
A182;6003;51646;VIA;ALDOBRANDO MAGNANI;15122;SPINETTA MARENGO
A182;6003;62753;VIA;ANGELO RAINERI;15122;SPINETTA MARENGO
A182;6003;51903;VIA;ANGIOLINA DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;52609;VIA;ANNIBALE CLEMENTE;15122;SPINETTA MARENGO
A182;6003;52003;VIA;ARDIZZONA;15122;SPINETTA MARENGO
A182;6003;52104;VIA;BARBOTTA;15122;SPINETTA MARENGO
A182;6003;52306;VIA;BOTTAZZI IN SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;54212;VIA;BRUNO PRATI;15122;SPINETTA MARENGO
A182;6003;52407;VIA;CARELLA;15122;SPINETTA MARENGO
A182;6003;53251;VIA;CARLO CATTANEO;15122;SPINETTA MARENGO
A182;6003;51655;VIA;DEI CADUTI;15122;SPINETTA MARENGO
A182;6003;52700;VIA;DEL FERRAIO;15122;SPINETTA MARENGO
A182;6003;54304;VIA;DEL PROGRESSO;15122;SPINETTA MARENGO
A182;6003;53507;VIA;DELLA LIBERTA' IN SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;54753;VIA;DEVIAZIONE STRADA STATALE 10;15122;SPINETTA MARENGO
A182;6003;53956;VIA;DORINO RAIMONDI;15122;SPINETTA MARENGO
A182;6003;55000;VIA;ERNESTO TORRE;15122;SPINETTA MARENGO
A182;6003;52902;VIA;GAMBALERA;15122;SPINETTA MARENGO
A182;6003;53103;VIA;GENOVA DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;53002;VIA;GIUSEPPE GARIBALDI IN SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;53800;VIA;GIUSEPPE MAZZINI IN SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;53204;VIA;GRILLA DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;53305;VIA;LECCA;15122;SPINETTA MARENGO
A182;6003;53406;VIA;LEVATA;15122;SPINETTA MARENGO
A182;6003;68831;VIA;MARESCIALLO FELICE MARITANO;15122;SPINETTA MARENGO
A182;6003;53709;VIA;MARUERA;15122;SPINETTA MARENGO
A182;6003;53901;VIA;MOLINETTO;15122;SPINETTA MARENGO
A182;6003;54203;VIA;PINEROLI;15122;SPINETTA MARENGO
A182;6003;53112;VIA;PROSPERO GOZZO;15122;SPINETTA MARENGO
A182;6003;54405;VIA;QUARTIERUZZI;15122;SPINETTA MARENGO
A182;6003;53608;VIA;RENATO MARTORELLI;15122;SPINETTA MARENGO
A182;6003;54607;VIA;ROMERA;15122;SPINETTA MARENGO
A182;6003;53552;VIA;ROSA LUXEMBURG;15122;SPINETTA MARENGO
A182;6003;51802;VIA;SAN FRANCESCO D'ASSISI IN SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;54708;VIA;SANT'AUDINA;15122;SPINETTA MARENGO
A182;6003;54900;VIA;STORTIGLIONA;15122;SPINETTA MARENGO
A182;6003;55101;VIA;TORTONA DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;55303;VIA;VENTICINQUE APRILE;15122;SPINETTA MARENGO
A182;6003;55202;VIA;VESPA;15122;SPINETTA MARENGO
A182;6003;53754;VIA;WALTER GUASTA;15122;SPINETTA MARENGO
A182;6003;52205;STRADA;BOLLA;15122;SPINETTA MARENGO
A182;6003;52508;STRADA;CASTELCERIOLO DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;68830;STRADA;DELLA GUASCA;15122;SPINETTA MARENGO
A182;6003;68823;STRADA;DELLA MELIGA;15122;SPINETTA MARENGO
A182;6003;52801;STRADA;FRUGAROLO DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;54506;STRADA;RANA DI SPINETTA MARENGO;15122;SPINETTA MARENGO
A182;6003;55404;VIA;ALESSANDRIA;15122;VALLE SAN BARTOLOMEO
A182;6003;57404;VIA;BARTOLOMEO MAINO;15122;VALLE SAN BARTOLOMEO
A182;6003;55451;VIA;BRICCO ROVEDA;15122;VALLE SAN BARTOLOMEO
A182;6003;55505;VIA;CAMPANA;15122;VALLE SAN BARTOLOMEO
A182;6003;57310;VIA;CARLO UGO;15122;VALLE SAN BARTOLOMEO
A182;6003;55909;VIA;DAZIO;15122;VALLE SAN BARTOLOMEO
A182;6003;56807;VIA;DEI MORI DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57002;VIA;DEI PRETI IN VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;55707;VIA;DELLA CHIESA DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;55808;VIA;DELLA CURETTA;15122;VALLE SAN BARTOLOMEO
A182;6003;55820;VIA;DELLA VECCHIA FONTANA;15122;VALLE SAN BARTOLOMEO
A182;6003;62759;VIA;DELLE GRADINATE BIAGIO GHO;15122;VALLE SAN BARTOLOMEO
A182;6003;56100;VIA;FALAMERA;15122;VALLE SAN BARTOLOMEO
A182;6003;56504;VIA;MARTINOTTA;15122;VALLE SAN BARTOLOMEO
A182;6003;56605;VIA;MELAZZA;15122;VALLE SAN BARTOLOMEO
A182;6003;56706;VIA;MONTATA DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;56403;VIA;MONTEGRANDE;15122;VALLE SAN BARTOLOMEO
A182;6003;56908;VIA;PISSAROTTO;15122;VALLE SAN BARTOLOMEO
A182;6003;57200;VIA;SANT'ANTONINO;15122;VALLE SAN BARTOLOMEO
A182;6003;57503;VIA;VALMIGLIARO DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57604;VIA;VARZA;15122;VALLE SAN BARTOLOMEO
A182;6003;57651;VIA;VOLVERA;15122;VALLE SAN BARTOLOMEO
A182;6003;55606;STRADA;CERCA DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57301;STRADA;DELLA SERRA DI VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57101;STRADA;RONCATA;15122;VALLE SAN BARTOLOMEO
A182;6003;57156;SALITA;ERALDO ROSSI IN VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57157;SALITA;MARIO PIZZO;15122;VALLE SAN BARTOLOMEO
A182;6003;56001;PIAZZA;GIOVANNI DOSSENA IN VALLE SAN BARTOLOMEO;15122;VALLE SAN BARTOLOMEO
A182;6003;57723;VIA;ALLA COLLINA;15122;VALMADONNA
A182;6003;57705;VIA;BARBORANA;15122;VALMADONNA
A182;6003;57806;VIA;CALDERONE;15122;VALMADONNA
A182;6003;57907;VIA;CASTELLINO;15122;VALMADONNA
A182;6003;58201;VIA;COLLA DI VALMADONNA;15122;VALMADONNA
A182;6003;58502;VIA;COSTANZA;15122;VALMADONNA
A182;6003;59804;VIA;DEI PRETI IN VALMADONNA;15122;VALMADONNA
A182;6003;57952;VIA;DEL FORNO;15122;VALMADONNA
A182;6003;58003;VIA;DELLA CERCA DI VALMADONNA;15122;VALMADONNA
A182;6003;58102;VIA;DELLA CHIESA DI VALMADONNA;15122;VALMADONNA
A182;6003;59103;VIA;DELLA MANZA;15122;VALMADONNA
A182;6003;60804;VIA;DELLA SERRA DI VALMADONNA;15122;VALMADONNA
A182;6003;60309;VIA;DELLE ROBERTE;15122;VALMADONNA
A182;6003;58157;VIA;DELLE SORGENTI;15122;VALMADONNA
A182;6003;58603;VIA;FONTANETTE;15122;VALMADONNA
A182;6003;59004;VIA;LUPI;15122;VALMADONNA
A182;6003;59202;VIA;MARGHERA;15122;VALMADONNA
A182;6003;59400;VIA;OLMETO;15122;VALMADONNA
A182;6003;59501;VIA;PADIGLIONE;15122;VALMADONNA
A182;6003;59602;VIA;PILIPARI;15122;VALMADONNA
A182;6003;59703;VIA;PORCELLANA;15122;VALMADONNA
A182;6003;59905;VIA;PROFUMATI;15122;VALMADONNA
A182;6003;60208;VIA;QUATTREMOLA;15122;VALMADONNA
A182;6003;60007;VIA;REMIGIO;15122;VALMADONNA
A182;6003;60400;VIA;RONCHETTO;15122;VALMADONNA
A182;6003;60501;VIA;RONCO;15122;VALMADONNA
A182;6003;60602;VIA;SABBIONE;15122;VALMADONNA
A182;6003;60703;VIA;SAN VITO;15122;VALMADONNA
A182;6003;60905;VIA;VALLE QUARTA;15122;VALMADONNA
A182;6003;61005;VIA;VALLONE;15122;VALMADONNA
A182;6003;61106;VIA;VALMIGLIARO DI VALMADONNA;15122;VALMADONNA
A182;6003;61207;VIA;VARVARA;15122;VALMADONNA
A182;6003;61261;VIA;VECCHIO MULINO;15122;VALMADONNA
A182;6003;61308;VIA;VENTICELLA;15122;VALMADONNA
A182;6003;60107;STRADA PROVINCIALE;494 PER PAVIA DI VALMADONNA;15122;VALMADONNA
A182;6003;57750;STRADA;BELVEDERE;15122;VALMADONNA
A182;6003;58300;STRADA;COMUNALE DI VALMADONNA;15122;VALMADONNA
A182;6003;58401;STRADA;COSTA SAN GIORGIO;15122;VALMADONNA
A182;6003;58704;STRADA;DEL FONTANONE;15122;VALMADONNA
A182;6003;58951;STRADA;FORNARA;15122;VALMADONNA
A182;6003;58906;STRADA;GABRIELLA;15122;VALMADONNA
A182;6003;61409;VIA;CANTALUPO;15122;VILLA DEL FORO
A182;6003;61500;VIA;CARENTINO;15122;VILLA DEL FORO
A182;6003;61601;VIA;GOGLINI;15122;VILLA DEL FORO
A182;6003;61702;VIA;MAESTRA;15122;VILLA DEL FORO
A182;6003;61904;VIA;OVIGLIO DI VILLA DEL FORO;15122;VILLA DEL FORO
A182;6003;62105;STRADA;DELLA ROSTA DI VILLA DEL FORO;15122;VILLA DEL FORO
A182;6003;62004;STRADA;ROCCA;15122;VILLA DEL FORO
