Mese;Ingressi;DiCui;LibriPrestati;NuoveIscrizioni;NuoveIscrizioniMLOL;TitoliPrestatiMLOL
Gennaio;880;615;731;28;8;84
Febbraio;934;621;685;30;10;91
Marzo;944;598;839;49;12;83
Aprile;739;445;652;26;6;93
Maggio;1026;654;752;40;4;92
Giugno;892;587;745;31;4;90
Luglio;813;457;714;29;3;92
Agosto;943;572;766;24;5;98
Settembre;957;635;698;23;8;102
Ottobre;1246;842;835;63;1;89
Novembre;1175;795;772;30;4;90
Dicembre;1207;703;694;17;5;106
