Mese;Ingressi;DiCui;LibriPrestati;NuoveIscrizioni;NuoveIscrizioniMLOL;TitoliPrestatiMLOL
Gennaio;568;279;729;9;1;69
Febbraio;505;299;481;26;3;64
Marzo;649;357;599;24;11;61
Aprile;623;377;520;13;9;64
Maggio;808;527;624;47;7;72
Giugno;565;312;607;32;4;63
Luglio;528;232;570;16;6;79
Agosto;652;363;638;25;3;86
Settembre;768;300;703;39;6;73
Ottobre;640;405;701;30;5;72
Novembre;784;510;706;35;8;63
Dicembre;739;408;722;16;2;81
