Mese;Ingressi;DiCui;LibriPrestati;NuoveIscrizioni;NuoveIscrizioniMLOL;TitoliPrestatiMLOL
Gennaio;108;0;385;8;3;70
Febbraio;136;0;300;10;6;79
Marzo;121;0;248;6;8;73
Aprile;122;0;546;14;6;74
Maggio;106;0;537;8;5;75
Giugno;116;0;540;11;7;69
Luglio;131;9;702;11;6;68
Agosto;276;108;377;11;8;70
Settembre;293;141;649;9;4;70
Ottobre;322;168;303;11;2;69
Novembre;396;202;435;16;0;61
Dicembre;401;223;368;16;1;64
