Identificativo;Tipologia;Essenza;Disposizione;Posizione;Portamento;EssenzaStorica;DataCensimento;AltezzaPrimoPalco;RangeAltezza;RangeDiametroFusto;Suolo;StatoVegetativo;QualitaBiomeccanica;ClassificazioneCedimento;Interferenze;TipoFoglia;CoordX;CoordY
924;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2023-04-21;4;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Buono;B;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Parcheggio;";Caduca;1470159.73495;4973886.07975
925;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;3;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Buono;;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470154.12696;4973890.60493
926;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;3;2) 10 - 16m;2) 20cm< & <=50cm;Idoneo;Buono;Mediocre;;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470148.51898;4973895.1301
927;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;3;2) 10 - 16m;2) 20cm< & <=50cm;Idoneo;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto;";Caduca;1470142.911;4973899.65528
928;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;4;2) 10 - 16m;2) 20cm< & <=50cm;Idoneo;Buono;Buono;;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto;";Caduca;1470137.30302;4973904.18045
929;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2023-04-21;3;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Buono;B;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Parcheggio;";Caduca;1470131.69503;4973908.70563
930;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;4;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470126.08705;4973913.2308
931;Albero;Platanus Acerifolia;Filare;Buco nell'asfalto;;No;2007-12-05;3;2) 10 - 16m;2) 20cm< & <=50cm;Idoneo;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470120.47907;4973917.75598
1584;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;4;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470339.71463;4974339.89039
1585;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470333.81685;4974341.22726
1586;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2.5;3) 16 - 20m;3) 50cm< & <=100cm;Ricoperto;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470327.91907;4974342.56414
1587;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;2) 20cm< & <=50cm;Idoneo;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470322.02129;4974343.90101
1588;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470316.12351;4974345.23789
1589;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470310.22574;4974346.57476
1590;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470304.32796;4974347.91164
1591;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470298.43018;4974349.24851
1592;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470292.5324;4974350.58539
1593;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470286.63462;4974351.92226
1594;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470280.73684;4974353.25914
1595;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470274.83906;4974354.59601
1596;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470268.94128;4974355.93289
1597;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470263.0435;4974357.26976
1598;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Ricoperto;Buono;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470257.14572;4974358.60664
1599;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470251.24795;4974359.94351
1601;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470239.45239;4974362.61726
1602;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470233.55461;4974363.95414
1603;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-08-07;2;3) 16 - 20m;3) 50cm< & <=100cm;Idoneo;Mediocre;Mediocre;C;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470227.65683;4974365.29101
1604;Albero;Tilia X Americana;Filare;Aiuola;;No;2020-12-23;2;3) 16 - 20m;2) 20cm< & <=50cm;Ricoperto;Buono;In attesa di indagine;;"Cartellonistica; Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470221.75905;4974366.62789
1605;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;3;3) 16 - 20m;2) 20cm< & <=50cm;Costipato;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470213.09191;4974374.59963
1606;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Costipato;Buono;Buono;;"Cartellonistica; Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470218.46553;4974373.38654
1607;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Costipato;Buono;Buono;;"Lampione; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470224.0125;4974372.17345
1608;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;2.5;3) 16 - 20m;2) 20cm< & <=50cm;Costipato;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470229.90615;4974370.85308
1609;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;3;3) 16 - 20m;3) 50cm< & <=100cm;Costipato;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470235.7998;4974369.53271
1610;Ceppaia;;Filare;Terra battuta;;No;2007-12-05;;;3) 50cm< & <=100cm;Costipato;;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";;1470241.69346;4974368.21234
1611;Albero;Tilia X Americana;Filare;Terra battuta;;No;2020-12-23;5.5;3) 16 - 20m;2) 20cm< & <=50cm;Costipato;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470247.58711;4974366.89197
1612;Albero;Tilia X Americana;Filare;Terreno incolto;;No;2020-12-23;3;3) 16 - 20m;3) 50cm< & <=100cm;Idoneo;Buono;In attesa di indagine;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470253.48076;4974365.5716
1613;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2.5;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470259.37441;4974364.25123
1614;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;1.5;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470265.26806;4974362.93085
1615;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470271.16172;4974361.61048
1616;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470277.05537;4974360.29011
1617;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470282.94902;4974358.96974
1618;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470288.84267;4974357.64937
1619;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470294.73632;4974356.329
1620;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470300.62997;4974355.00863
1621;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470306.52363;4974353.68826
1622;Albero;Tilia X Americana;Filare;Prato margine strada;;No;2023-08-07;2.5;2) 10 - 16m;3) 50cm< & <=100cm;Idoneo;Buono;Mediocre;C;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470312.41728;4974352.36789
2114;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470368.29719;4975215.47354
2115;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470366.6331;4975209.92799
